## Unknown:

  AADMobileRoaming: 0
  AOAC: 0
  AccountsControl_FixAccountsHassles: 0
  AcrylicInputSwitcherDesktop: 0
  ActionCenterConvergedAudioPlayer: 0
  AddAADUser: 0
  AddPhoneButton: 0
  AddSourceWindowFromViewNavigationRequested: 0
  AddSwitchAsyncContextToPositionerActivations: 0
  AddToReadingList: 0
  AddUpdateFavorite: 0
  AddressBarNaturalSelection: 0
  AddressBoxNavigate: 0
  AddressBoxSearch: 0
  AdvancedColorBrightnessSlider: 0
  AdvancedColorCamera: 0
  AdvancedColorSettingsPage: 0
  AdvancedGestureRecognition: 0
  AdvancedGraphicsSettings: 0
  AgeBasedAppBlocking: 0
  AndromedaStore: 0
  Annotations: 0
  AppInstallBatching: 0
  AppVContainer: 0
  AppVContainerVfs: 0
  ApplicationGuardDownloadToHost: 0
  ArrowKeysUnselect: 0
  AskCortanaContext: 0
  AssignedAccessSettingsAtomicConfiguration: 0
  AssistGlyphIcon: 0
  Audio_Mixer: 0
  AutoFormfill_Consent_Icon: 0
  AutoplayGlobalSettingSoftlandingEvent: 0
  AutoplaySiteSettingSoftlandingEvent: 0
  BackoffOnBatterySaver: 0
  BarcelonaAppContainerLaunch: 0
  BingImageSearch: 0
  BitLocker_Encrypt_All_Drives: 0
  BlockProviders: 0
  BlockingFunctionMeasurementInContentProcessCreation: 0
  BlueLightReductionAppModeController: 0
  BluetoothA2DPSink: 0
  BluetoothA2DPSinkAbsoluteVolume: 0
  BluetoothConvergedAvrcp: 0
  BluetoothConvergedHfp: 0
  BluetoothCore42: 0
  BlurDepthBuffers: 0
  BookReader: 0
  BookReader_AnnotationsPanelFilters: 0
  Book_Classroom_Annotations_Sharing: 0
  BooksMockTesting: 0
  BrokeredCreateFile2: 0
  BrowserFramePerfAnalysisImprovements: 0
  BthA2dpAbsoluteVolume: 0
  BufferCommands: 0
  Bug11094945: 0
  CDSRoaming: 0
  CExecUsesConhost: 0
  CHSConvergedEM: 0
  CHTLanguageBar: 0
  CRdpUseURCP: 0
  CaptureSPHCloudFileHydrations: 0
  CdplAppDataProtection: 0
  CdplTestHooks: 0
  CfaOneClick: 0
  ChangjieQuickOnGIP: 0
  ChsIMECWPerfSelfhostMeasure: 0
  ChtIme_Bopomofo_AsimovMisConversionTelemetry: 0
  ChtIme_Bopomofo_EnableTogglingModeWhenImeIsOff: 0
  ChtIme_SddsDictionary: 0
  ClearTypeCaching: 0
  CnnAntiSpoofingDataCollection: 0
  CommandListBasedTransparency: 0
  CompUIForEmbeddedPdf: 0
  ComponentSettings: 0
  CompositionFenceSynchronizedPresents: 0
  CompositorAdaptiveQuality: 0
  ConsumerASR: 0
  ContainerDiagnosticService: 0
  ControlIndexingOnBattery: 0
  CopyLinkInShareUI: 0
  CoreShellOnDesktop: 0
